Year,Month,지역,local_id,가정용,업무용,산업용
2022,10,강  원,32,173635,553578,581068
2022,10,충  북,33,180281,484680,1649562
2022,10,충  남,34,243623,653550,3009821
2022,10,전  북,35,193988,454092,1053494
2022,10,전  남,36,193595,547301,2295071
2022,10,경  북,37,276801,781639,2298410
2022,10,경  남,38,359444,806229,1587832
2022,10,제  주,39,72006,248740,124258
2022,11,서  울,11,1079581,2345238,112280
2022,11,부  산,21,379512,671182,585921
2022,11,대  구,22,267929,489285,478081
2022,11,인  천,23,356392,675191,961317
2022,11,광  주,24,167877,287701,234945
2022,11,대  전,25,160764,399852,189289
2022,11,울  산,26,124106,302881,2086072
2022,11,세  종,29,48966,98500,159744
2022,11,경  기,31,1605675,3467215,5992445
2022,11,강  원,32,183291,645913,579843
2022,11,충  북,33,186573,541766,1661027
2022,11,충  남,34,247360,678535,3126659
2022,11,전  북,35,197011,473245,1065750
2022,11,전  남,36,195675,571308,1565376
2022,11,경  북,37,287344,852912,2399250
2022,11,경  남,38,364330,819144,1679567
2022,11,제  주,39,70147,241152,129944
2022,12,서  울,11,1151263,2829389,126197
2022,12,부  산,21,397004,776856,597920
2022,12,대  구,22,281969,576695,495075
2022,12,인  천,23,382592,841787,991067
2022,12,광  주,24,175613,334483,234270
2022,12,대  전,25,168019,471061,199477
2022,12,울  산,26,128368,342822,2283786
2022,12,세  종,29,49984,119289,162170
2022,12,경  기,31,1706376,4242090,6252630
2022,12,강  원,32,195303,800470,573335
2022,12,충  북,33,199064,670446,1715005
2022,12,충  남,34,264820,842186,3213461
2022,12,전  북,35,210103,577013,1093903
2022,12,전  남,36,210855,649969,2108754
2022,12,경  북,37,306159,986932,2370683
2022,12,경  남,38,391633,941248,1802069
2022,12,제  주,39,78040,262398,145783
